sampleID	Sg_BJN11YM_2	Sg_BJN12YM_2	Sg_BJN12YM_6	Sg_BJN3YM_1	Sg_BJN3YM_3	Sg_BJN3YM_6	Sg_BJN3YM_7	Sg_BJN3YM_9	Sg_BJN5Y4M_3	Sg_BJN5Y4M_6	Sg_BJN5Y4M_8	Sg_BJN6YM_4	Sg_BJN6YM_5	Sg_BJN6YM_7	Sg_BJN8YM_1	Sg_BJN8YM_2	Sg_HDHZ12YM_3	Sg_HDHZ2YM_2	Sg_HDHZ2YM_3	Sg_HDHZ3YM_10	Sg_HDHZ3YM_13	Sg_HDHZ3YM_3	Sg_HDHZ3YM_5	Sg_HDHZ3YM_9	Sg_HDHZ4YM_4	Sg_HDHZ5YM_1	Sg_HDHZ5YM_2	Sg_HDHZ6YM_2	Sg_HDHZ7YM_1	Sg_HDHZ7YM_3	Sg_HDHZ9YM_2	Sg_YFZ7YM_2	Sg_YFZ7YM_6	Sg_YFZ9YM_2	Sg_YFZ9YM_3	Sg_Month1_1	Sg_Month1_16	Sg_Month1_17	Sg_Month1_19	Sg_Month1_3	Sg_Month1_9	Sg_Month10_1	Sg_Month10_12	Sg_Month10_17	Sg_Month10_3	Sg_Month11_1	Sg_Month11_10	Sg_Month11_12	Sg_Month11_14	Sg_Month11_2	Sg_Month11_3	Sg_Month11_5	Sg_Month11_7	Sg_Month11_8	Sg_Month12_1	Sg_Month12_10	Sg_Month12_11	Sg_Month12_2	Sg_Month2_12	Sg_Month2_16	Sg_Month2_6	Sg_Month2_8	Sg_Month2_9	Sg_Month3_10	Sg_Month3_11	Sg_Month3_13	Sg_Month3_15	Sg_Month3_19	Sg_Month3_4	Sg_Month3_5	Sg_Month4_16	Sg_Month4_2	Sg_Month4_5	Sg_Month4_8	Sg_Month4_9	Sg_Month5_10	Sg_Month5_11	Sg_Month5_15	Sg_Month5_17	Sg_Month5_19	Sg_Month5_21	Sg_Month5_25	Sg_Month5_26	Sg_Month5_3	Sg_Month5_6	Sg_Month5_8	Sg_Month5_9	Sg_Month6_10	Sg_Month6_13	Sg_Month6_14	Sg_Month6_5	Sg_Month6_6	Sg_Month6_8	Sg_Month7_6	Sg_Month7_9	Sg_Month8_1	Sg_Month8_14	Sg_Month8_3	Sg_Month9_1	Sg_Month9_2	Sg_Month9_4	Sg_Month9_8	Sg_Month9_9
OCH-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FosK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tet(M)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
msr(G)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aadA27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACT-109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vanT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
qacEdelta1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
EF-Tu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
baeS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SGM-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
mphO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
